INFO:root:Total episodes: 0 | Total processed frames: 4506 | Average reward: 0.00 | Loss: 0.00
INFO:root:Total episodes: 0 | Total processed frames: 8713 | Average reward: 0.00 | Loss: 0.00
INFO:root:Total episodes: 0 | Total processed frames: 12936 | Average reward: 0.00 | Loss: 0.00
INFO:root:Total episodes: 0 | Total processed frames: 17194 | Average reward: 0.00 | Loss: 0.00
INFO:root:Total episodes: 0 | Total processed frames: 21452 | Average reward: 0.00 | Loss: 0.00
INFO:root:Total episodes: 0 | Total processed frames: 25678 | Average reward: 0.00 | Loss: 0.00
INFO:root:Total episodes: 0 | Total processed frames: 29939 | Average reward: 0.00 | Loss: 0.00
INFO:root:Total episodes: 0 | Total processed frames: 34180 | Average reward: 0.00 | Loss: 0.00
INFO:root:Total episodes: 0 | Total processed frames: 38397 | Average reward: 0.00 | Loss: 0.00
INFO:root:Total episodes: 4 | Total processed frames: 42610 | Average reward: 207.92 | Loss: -113.16
INFO:root:Total episodes: 4 | Total processed frames: 46827 | Average reward: 207.92 | Loss: -113.16
INFO:root:Total episodes: 4 | Total processed frames: 51078 | Average reward: 207.92 | Loss: -113.16
INFO:root:Total episodes: 4 | Total processed frames: 55288 | Average reward: 207.92 | Loss: -113.16
INFO:root:Total episodes: 4 | Total processed frames: 59488 | Average reward: 207.92 | Loss: -113.16
INFO:root:Total episodes: 4 | Total processed frames: 63714 | Average reward: 207.92 | Loss: -113.16
INFO:root:Total episodes: 4 | Total processed frames: 68045 | Average reward: 207.92 | Loss: -113.16
INFO:root:Total episodes: 4 | Total processed frames: 72240 | Average reward: 207.92 | Loss: -113.16
INFO:root:Total episodes: 4 | Total processed frames: 76536 | Average reward: 207.92 | Loss: -113.16
INFO:root:Total episodes: 7 | Total processed frames: 80770 | Average reward: 211.72 | Loss: -111.57
INFO:root:Total episodes: 8 | Total processed frames: 84976 | Average reward: 213.61 | Loss: -111.90
INFO:root:Total episodes: 8 | Total processed frames: 89272 | Average reward: 213.61 | Loss: -111.90
INFO:root:Total episodes: 8 | Total processed frames: 93483 | Average reward: 213.61 | Loss: -111.90
INFO:root:Total episodes: 8 | Total processed frames: 97689 | Average reward: 213.61 | Loss: -111.90
INFO:root:Total episodes: 8 | Total processed frames: 101911 | Average reward: 213.61 | Loss: -111.90
INFO:root:Total episodes: 8 | Total processed frames: 106165 | Average reward: 213.61 | Loss: -111.90
INFO:root:Total episodes: 8 | Total processed frames: 110330 | Average reward: 213.61 | Loss: -111.90
INFO:root:Total episodes: 8 | Total processed frames: 114535 | Average reward: 213.61 | Loss: -111.90
INFO:root:Total episodes: 11 | Total processed frames: 118681 | Average reward: 365.51 | Loss: 17.46
INFO:root:Total episodes: 11 | Total processed frames: 122866 | Average reward: 365.51 | Loss: 17.46
INFO:root:Total episodes: 12 | Total processed frames: 127054 | Average reward: 363.85 | Loss: 24915.87
